Lake,Year,Author,Station,Depth m,Depth zones,Basin,Latitude,Longitude,Density D. polymorpha ind m-2 ,Density D. r. bugensis ind m-2,Density all Dreissena ind m-2,Biomass D. polymorpha gAFDTW/m2,Biomass D. r. bugensis gAFDTW/m2,Biomass all Dreissena gAFDTW/m2
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9561,138,>90,excluding Green Bay,43.471,-86.784,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9562,129,>90,excluding Green Bay,43.5,-87.617,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9564,140,>90,excluding Green Bay,43.601,-87.341,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9570,174,>90,excluding Green Bay,43.886,-86.908,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9574,148,>90,excluding Green Bay,44.068,-87.147,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9576,175,>90,excluding Green Bay,44.151,-86.621,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9577,63,51-90,excluding Green Bay,44.243,-87.374,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9582,128,>90,excluding Green Bay,44.408,-86.369,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9587,207,>90,excluding Green Bay,44.621,-86.353,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9597,164,>90,excluding Green Bay,44.972,-86.37,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9599,208,>90,excluding Green Bay,45.004,-86.724,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,19163,116,>90,excluding Green Bay,43.2,-86.7,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,20148,54,51-90,excluding Green Bay,42.0135,-86.753,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,31916,26,0-30,excluding Green Bay,41.833,-86.906,1085.28,0,1085.28,2.08357,0,2.08357
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,73452,17,0-30,excluding Green Bay,42.83483,-86.246,299.88,0,299.88,0.13437,0,0.13437
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,73472,45,31-50,excluding Green Bay,42.367,-86.443,21.42,0,21.42,0.01225,0,0.01225
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,73492,17,0-30,excluding Green Bay,41.9,-86.64967,378.42,0,378.42,1.03513,0,1.03513
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,74880,23,0-30,excluding Green Bay,45.909,-85.025,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,74900,55,51-90,excluding Green Bay,45.44567,-85.22183,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,75000,28,0-30,excluding Green Bay,43.112,-86.329,578.34,0,578.34,3.83664,0,3.83664
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,75010,58,51-90,excluding Green Bay,42.879,-86.357,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,75030,59,51-90,excluding Green Bay,42.385,-86.591,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,75040,79,51-90,excluding Green Bay,42.175,-86.734,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,75050,47,31-50,excluding Green Bay,41.943,-86.829,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,75060,6,0-30,excluding Green Bay,41.713,-86.933,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,76442,20,0-30,excluding Green Bay,46.001,-85.41,7.14,0,7.14,0.0007,0,0.0007
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,76451,17,0-30,excluding Green Bay,45.72267,-85.3315,7.14,0,7.14,0.0007,0,0.0007
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,76462,55,51-90,excluding Green Bay,45.535,-85.636,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,76471,32,31-50,excluding Green Bay,45.242,-85.556,2641.8,0,2641.8,0.25361,0,0.25361
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,76482,28,0-30,excluding Green Bay,45.069,-85.857,8296.68,0,8296.68,0.81307,0,0.81307
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,76560,90,51-90,excluding Green Bay,43.295,-86.558,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,76570,104,>90,excluding Green Bay,43.059,-86.662,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,76580,108,>90,excluding Green Bay,42.828,-86.759,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,76590,145,>90,excluding Green Bay,42.587,-86.856,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,76611,65,51-90,excluding Green Bay,42.984,-87.014,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,76620,43,31-50,excluding Green Bay,41.886,-87.154,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,76622,20,0-30,excluding Green Bay,41.79,-87.293,142.8,0,142.8,0.41633,0,0.41633
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,78030,35,31-50,excluding Green Bay,45.812,-85.718,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,78110,30,0-30,excluding Green Bay,43.944,-86.57867,171.36,0,171.36,0.1777,0,0.1777
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,78140,112,>90,excluding Green Bay,43.23917,-86.88633,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,78150,89,51-90,excluding Green Bay,43.005,-86.987,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,78190,51,51-90,excluding Green Bay,42.066,-87.38,7.14,0,7.14,0.00069,0,0.00069
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,79612,21,0-30,excluding Green Bay,45.9,-86.10533,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,79730,84,51-90,excluding Green Bay,43.185,-87.216,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,79732,67,51-90,excluding Green Bay,43.089,-87.358,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,79752,80,51-90,excluding Green Bay,42.619,-87.554,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,79760,88,51-90,excluding Green Bay,42.481,-87.51,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,79781,8,0-30,excluding Green Bay,41.872,-87.598,414.12,0,414.12,0.575,0,0.575
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,81220,39,31-50,excluding Green Bay,45.71,-86.409,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,81240,57,51-90,excluding Green Bay,45.2475,-86.6685,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,81330,88,51-90,excluding Green Bay,43.13,-87.545,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,81340,46,31-50,excluding Green Bay,42.895,-87.641,0,0,0,0,0,0
